rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeO*n,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
Basaltic andesite,-122.3750,45.9000,53.82,1.68,16.01,10.39,0.20,4.66,9.47,2.99,0.54,0.24
Basaltic andesite,-122.4670,45.9330,56.42,1.76,15.54,9.80,0.19,3.77,7.65,3.65,0.96,0.26
Andesite,-122.4250,45.8920,59.56,0.91,17.57,6.26,0.15,3.32,7.41,3.84,0.84,0.14
Andesite,-122.4270,45.9950,57.31,2.16,15.38,9.18,0.19,3.20,6.73,4.22,1.18,0.45
Andesite,-122.4220,45.9087,61.43,1.32,16.13,7.63,0.14,1.96,5.38,4.22,1.51,0.28
Andesite,-122.4190,45.8920,57.44,0.96,18.57,7.04,0.18,3.20,8.17,3.58,0.72,0.13
Andesite,-122.3900,45.9640,58.28,1.33,15.96,7.92,0.13,3.95,7.14,3.51,1.44,0.34
Andesite,-122.4820,45.9610,57.38,1.23,16.81,7.68,0.16,4.08,7.40,3.57,1.46,0.23
Andesite,-122.4200,45.8870,57.93,1.36,17.13,7.73,0.18,3.25,7.17,4.02,1.01,0.22
Basaltic andesite,-122.3980,45.9760,54.22,2.13,16.00,9.76,0.22,4.23,8.23,3.98,0.85,0.37
Basaltic andesite,-122.4970,45.9670,53.69,0.90,18.88,7.23,0.14,5.19,10.00,3.09,0.75,0.13
Basaltic andesite,-122.4790,45.9290,55.76,1.78,15.79,9.96,0.21,3.94,7.60,3.81,0.89,0.26
Basaltic andesite,-122.4400,45.9640,56.01,1.11,18.03,7.64,0.15,3.90,8.55,3.41,1.02,0.18
Basaltic andesite,-122.4790,45.8850,56.81,1.61,16.56,9.05,0.21,3.22,7.55,4.06,0.71,0.24
Andesite,-122.3810,45.9630,58.87,1.36,16.24,6.72,0.14,4.24,7.68,3.74,0.67,0.35
Basaltic andesite,-122.4780,45.9570,54.90,1.06,17.63,8.04,0.15,4.51,9.45,3.35,0.76,0.16
Basaltic andesite,-122.4620,45.8850,54.93,1.17,20.19,7.23,0.15,2.69,9.47,3.47,0.52,0.19
Basalt,-122.4550,45.9640,51.91,1.34,17.36,8.52,0.17,6.64,9.74,3.16,0.88,0.28
Andesite,-122.4453,45.9725,60.59,1.50,15.31,7.21,0.14,3.23,6.31,4.27,1.09,0.34
Basaltic andesite,-122.3890,45.9560,56.90,2.10,15.81,9.27,0.19,3.35,6.93,4.04,1.07,0.33
Andesite,-122.4350,45.9630,57.72,1.20,16.38,7.52,0.15,4.78,7.09,3.66,1.26,0.23
Basaltic andesite,-122.4530,45.9510,54.72,1.32,16.96,8.03,0.15,5.57,8.90,3.43,0.65,0.28
Basaltic andesite,-122.3770,45.8770,53.83,1.67,16.18,10.16,0.18,4.59,9.34,3.12,0.69,0.24
Andesite,-122.4470,45.9460,57.76,1.60,16.96,8.31,0.17,2.71,6.88,4.19,1.08,0.32
Basaltic andesite,-122.4560,45.9780,54.96,1.16,17.49,7.51,0.30,4.75,9.73,3.18,0.71,0.19
Diorite,-122.4250,45.9680,54.62,1.20,17.64,7.85,0.16,5.23,9.84,2.99,0.28,0.19
Andesite,-122.4560,45.9640,57.52,1.22,16.67,7.69,0.17,3.88,7.86,3.74,1.02,0.22
Basaltic andesite,-122.3810,45.8810,53.36,1.36,17.26,9.61,0.17,4.44,9.86,2.97,0.78,0.19
Basaltic andesite,-122.4520,45.9640,52.61,1.28,16.53,8.90,0.15,7.11,9.54,2.91,0.70,0.27
Basaltic andesite,-122.3870,45.8960,52.11,1.23,19.37,8.63,0.16,4.33,10.73,2.91,0.38,0.16
Basaltic andesite,-122.3930,45.8820,55.32,1.22,17.65,8.89,0.17,4.15,8.47,3.42,0.54,0.17
Basaltic andesite,-122.4720,45.9650,55.27,1.07,18.00,7.72,0.15,4.40,9.09,3.39,0.75,0.17
Basaltic andesite,-122.3860,45.8618,55.98,1.79,15.87,10.23,0.19,3.39,7.87,3.74,0.69,0.25
Basaltic andesite,-122.3910,45.8727,55.48,1.81,15.78,10.44,0.19,3.81,8.04,3.60,0.62,0.24
Basaltic andesite,-122.3990,45.8048,52.91,1.31,17.53,9.13,0.17,5.04,10.04,2.94,0.73,0.22
Basaltic andesite,-122.3870,45.7905,55.32,1.61,15.30,11.63,0.23,3.85,7.47,3.67,0.70,0.21
Basalt,-122.4250,45.8308,50.90,1.11,21.65,8.02,0.15,3.60,11.35,2.78,0.33,0.11
Basaltic andesite,-122.4210,45.8275,54.27,1.34,18.69,8.67,0.19,3.44,9.41,3.32,0.51,0.15
